"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking"
2021-08-15,2,2,2,2,4,1,2,2,3,2,907157,7552,21882,209,-35,1,-51,-65,-15,10,38.75,31.07
2021-08-16,2,2,2,2,4,1,2,2,3,2,928314,7734,21157,182,-27,7,-44,-60,-26,11,38.45,30.24
2021-08-17,2,2,2,2,4,1,2,2,3,2,948442,7973,20128,239,-26,8,-43,-60,-28,11,39.53,31.1
2021-08-18,3,2,2,2,4,1,2,2,3,2,968957,8285,20515,312,-27,5,-43,-60,-27,11,40.15,31.13
2021-08-19,3,2,2,2,4,1,2,2,3,2,989859,8586,20902,301,-29,2,-45,-61,-27,11,40.51,31.28
2021-08-20,3,2,2,2,4,1,2,2,3,2,1009710,8826,19851,240,-30,5,-47,-62,-26,13,44.49,33.66
2021-08-21,3,2,2,2,4,1,2,2,3,2,1030281,9087,20571,261,-31,5,-53,-62,-11,9,43.57,33.88
2021-08-22,3,2,2,2,4,1,2,2,3,2,1049295,9320,19014,233,-35,-1,-48,-66,-15,9,41.09,31.62
2021-08-23,3,2,2,2,4,1,2,2,3,2,1066786,9562,17491,242,-27,4,-43,-61,-25,10,40.05,32.04
2021-08-24,3,2,2,2,4,1,2,2,3,2,1083951,9788,17165,226,-27,4,-44,-61,-27,10,39.96,31.2
2021-08-25,3,2,2,2,4,1,2,2,3,2,1102368,10085,18417,297,-27,3,-44,-60,-27,11,41.12,33.04
2021-08-26,3,2,2,2,4,1,2,2,3,2,1120869,10314,18501,229,-28,2,-45,-60,-27,11,41.49,32.05
2021-08-27,3,2,2,2,4,1,2,2,3,2,1139571,10587,18702,273,-31,4,-49,-62,-26,13,46.9,34.99
2021-08-28,3,2,2,2,4,1,2,2,3,2,1157555,10879,17984,292,-31,3,-53,-62,-10,10,47.66,35.97
2021-08-29,3,2,2,2,4,1,2,2,3,2,1174091,11143,16536,264,-30,4,-47,-63,-15,9,44.97,34.11
2021-08-30,3,2,2,2,4,1,2,2,3,2,1190063,11399,15972,256,-25,6,-43,-58,-24,10,41.92,32.76
2021-08-31,3,2,2,2,3,0,2,2,2,1,1204729,11589,14666,190,-23,10,-44,-57,-25,10,42.64,32.77
2021-09-01,3,2,2,2,3,0,2,2,2,1,1213954,11841,9225,252,-17,11,-42,-54,-24,9,44.95,34.32
2021-09-02,3,2,2,2,3,0,2,2,2,1,1234487,12103,20533,262,-16,11,-42,-54,-24,9,48.28,36.05
2021-09-03,3,2,2,2,3,0,2,2,2,1,1249140,12374,14653,271,-18,11,-44,-56,-23,10,58.62,42.2
2021-09-04,3,2,2,2,3,0,2,2,2,1,1265082,12631,15942,257,-19,7,-47,-55,-7,7,60.33,44.08
2021-09-05,3,2,2,2,3,0,2,2,2,1,1280534,12855,15452,224,-16,12,-39,-57,-12,6,53.3,40.21
2021-09-06,3,2,2,2,3,0,2,2,2,1,1294522,13042,13988,187,-15,10,-38,-54,-22,7,48.9,38.06
2021-09-07,3,2,2,2,3,0,2,2,2,1,1308343,13283,13821,241,-18,5,-40,-56,-24,8,48.87,37.76
2021-09-08,3,2,2,2,3,0,2,2,2,1,1322519,13511,14176,228,-18,4,-41,-56,-24,9,49.14,37.95
2021-09-09,3,2,2,2,3,0,2,2,2,1,1338550,13731,16031,220,-19,4,-43,-55,-24,9,50.47,37.39
2021-09-10,3,2,2,2,3,0,2,2,2,1,1352953,13920,14403,189,-20,7,-43,-56,-23,10,62.96,45
2021-09-11,3,2,2,2,3,0,2,2,2,1,1368144,14173,15191,253,-18,7,-45,-54,-6,6,65.32,47.18
2021-09-12,3,2,2,2,3,0,2,2,2,1,1382173,14353,14029,180,-15,8,-36,-56,-10,6,56.71,41.16
2021-09-13,3,2,2,2,3,0,2,2,2,1,1394756,14485,12583,132,-15,7,-37,-54,-22,7,50.8,38.91
2021-09-14,3,2,2,2,3,0,2,2,2,1,1406542,14621,11786,136,-17,6,-39,-54,-25,8,50.32,37.55
