"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking","daily_vaccinations","first_dose","second_dose","third_dose","total_doses","vax1","vax2","BKK.bus","Reg.bus","Personal.car","BKK.train","Reg.train","BKK.airport","Reg.airport","infected","death","retail","gro","parks","trans","work","res","dr","wlk","vax_1","vax_2","bus_bkk1","bus_inter_reg","trainbkk","trainreg","bkk_airp","reg_airp","car"
2021-07-15,2,1,2,2,4,1,1,1,3,1,372215,3032,9186,98,-19,15,-40,-56,-20,9,38.56,32.32,289068,10424355,3398430,0,13822785,261015,28053,401567,9424,1486614,274109,9304,1795,1888,-0.560994757330037,-0.410731044866537,0.385336707015868,0.674873349350514,0.403289234282045,0.268761069823071,-0.041936966942596,0.115286567179725,-0.771160996467045,-0.586550692447372,0.0982744977570252,-0.607023373819638,0.180293089316054,0.0137993814409831,0.0508373586578387,-0.305068520859081,-0.244920577260221,-0.25522944087076,-0.21210597978501
2021-07-16,2,1,2,2,4,1,1,1,3,1,381907,3099,9692,67,-20,18,-41,-58,-20,10,42.94,34.82,307704,10697578,3432911,0,14130489,273223,34481,399077,9801,1546249,274461,9599,2387,2567,-0.485384312682684,-0.774911592334901,0.251886765192191,1.15125453712735,0.226019241191036,-0.0866254687859478,-0.041936966942596,0.394769154282091,-0.329597448526768,-0.204768746635954,0.190478915409829,-0.547118103642877,0.155646608616842,0.0575581180890798,0.0540048584084903,-0.238102190974006,-0.0635234619416807,-0.0550957221869871,0.0103928226134123
2021-07-17,2,1,2,2,4,1,1,1,3,1,391989,3240,10082,141,-23,15,-49,-58,-2,7,42.96,35.59,93273,10780432,3443330,0,14223762,82854,10419,314822,9121,1295276,159177,6918,1650,1673,-0.427107487756859,0.09442261775087,-0.148463060278841,0.674873349350514,-1.19214070353703,-0.0866254687859478,1.73421692709676,-0.443678607025005,-0.327581176618365,-0.0871799073260364,-1.24733749875683,-0.771362131488743,-0.67832497022335,-0.0213701071647816,-0.983387304245253,-0.846701277149892,-0.289350613951418,-0.318600205991542,-0.925990038698557
2021-07-18,2,1,2,2,4,1,1,1,3,1,403386,3341,11397,101,-23,16,-43,-60,-8,7,40.06,33.1,74834,10850099,3448497,0,14298596,69667,5167,259939,8059,1044306,123562,6664,2967,3141,-0.230609988327474,-0.375487766079277,-0.148463060278841,0.833667078609459,-0.128520744990982,-0.442012007394966,1.14216562908364,-0.443678607025005,-0.619940603336813,-0.467434725354209,-1.34693609439801,-0.820307756717173,-1.22156705866304,-0.144637423664195,-1.3038716895278,-0.904360422203482,0.114196684823106,0.114089483298264,-1.86236170697947
2021-07-19,2,1,2,2,4,1,1,1,3,1,415170,3422,11784,81,-18,17,-39,-56,-20,8,37.81,31.01,248648,11067518,3479726,0,14547244,217419,31229,405518,9264,1517743,276526,9564,1992,2242,-0.172781446670308,-0.61044295799435,0.518786648839545,0.992460807868403,0.580559227373053,0.268761069823071,-0.041936966942596,-0.16419601992264,-0.846771193032161,-0.786604432052555,-0.23099678271411,-0.577424876918364,0.219400818329141,-0.00477196567757253,0.0725869237070571,-0.246047348756981,-0.184557010169423,-0.15088873923003,-0.0959633585078995
2021-07-20,2,1,2,2,4,1,1,1,3,1,426475,3502,11305,80,-22,15,-40,-58,-24,10,36.56,31.25,257876,11292579,3512541,0,14805120,225061,32815,371261,8498,1484244,241001,8908,2927,2927,-0.244357341899719,-0.622190717590103,-0.0150131184551638,0.674873349350514,0.403289234282045,-0.0866254687859478,-0.436637832284676,0.394769154282091,-0.972788187307354,-0.749953365254659,-0.173278388243048,-0.562644267319679,-0.119681305892905,-0.0936822900076577,-0.247087589480152,-0.394962306060741,0.101940122977258,0.0510134659222297,-0.220948474321512
2021-07-21,2,1,2,2,4,1,1,1,3,1,439477,3610,13002,108,-23,12,-40,-60,-25,10,37.08,29.79,279576,11538866,3545830,0,15084696,246287,33289,355104,2066,1382041,232168,7945,2,110,0.0092215604057307,-0.293253448909001,-0.148463060278841,0.198492161573681,0.403289234282045,-0.442012007394966,-0.535313048620196,0.394769154282091,-0.920365117688874,-0.972914021608528,-0.0129629418883296,-0.558226859406831,-0.279606281257228,-0.840250444173594,-0.326572036348065,-0.613567647346597,-0.794320962000329,-0.779290931032392,-0.602268925424488
2021-07-22,2,1,2,2,4,1,1,1,3,1,453132,3697,13655,87,-25,9,-42,-60,-24,11,37.58,30.1,304243,11805180,3583759,0,15388939,266314,37929,353382,920,1399249,224525,8135,0,81,0.106797885217433,-0.539956400419828,-0.415362943926195,-0.277889026203153,0.0487492481000271,-0.442012007394966,-0.436637832284676,0.674251741384456,-0.869958319978797,-0.925573060327911,0.138296713446918,-0.514984722876002,-0.296650955861261,-0.973267717910249,-0.395348174399855,-0.570436790810447,-0.794933790092621,-0.787838615630079,-0.538065699270852
2021-07-23,2,2,2,2,4,1,1,1,3,1,467707,3811,14575,114,-27,14,-46,-62,-24,12,40.7,32.5,352879,12109424,3632394,0,15741818,304244,48635,342721,1534,1505101,231598,8679,2,111,0.244271420939893,-0.222766891334479,-0.68226282757355,0.51607962009157,-0.660330724264008,-0.797398546003985,-0.436637832284676,0.953734328486821,-0.555419902267914,-0.55906239234895,0.424773905580833,-0.415210948371894,-0.402175506356962,-0.902000173342792,-0.3317012262852,-0.446946338412206,-0.794320962000329,-0.778996183287644,-0.143130791389946
2021-07-24,2,2,2,2,4,1,1,1,3,1,481967,3930,14260,119,-33,5,-56,-65,-21,12,38.52,31.61,128026,12226845,3642999,0,15869844,117421,10605,233330,1197,1227890,117362,5900,5,95,0.197201677730572,-0.164028093355711,-1.48296247851561,-0.913063943238931,-2.4330306551741,-1.33047835391751,-0.140612183278116,0.953734328486821,-0.775193540283851,-0.694976765057815,-0.986260327639163,-0.769628718257119,-1.48494786385394,-0.94111607321125,-1.35966287831769,-1.07779186638042,-0.79340171986189,-0.783712147203609,-1.17740790234273
